service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
P_Fri_merged_115560106,20250525,20250830,0,0,0,0,1,0,0
MT_merged_115560105,20250525,20250830,1,1,1,1,0,0,0
MT_merged_115560112,20250831,20260103,1,1,1,1,0,0,0
DPSWK_merged_115560109,20250831,20260103,1,1,1,1,1,0,0
DPSWK_merged_115560102,20250525,20250830,1,1,1,1,1,0,0
WK_merged_115560110,20250831,20260103,1,1,1,1,1,0,0
SA_merged_115560107,20250525,20250830,0,0,0,0,0,1,0
SU_merged_115560111,20250831,20260103,0,0,0,0,0,0,1
SU_merged_115560104,20250525,20250830,0,0,0,0,0,0,1
FR_merged_115560101,20250525,20250830,0,0,0,0,1,0,0
WK_merged_115560103,20250525,20250830,1,1,1,1,1,0,0
FR_merged_115560108,20250831,20260103,0,0,0,0,1,0,0
P_Fri_merged_115560113,20250831,20260103,0,0,0,0,1,0,0
SA_merged_115560114,20250831,20260103,0,0,0,0,0,1,0
