service_id,date,exception_type
P_Fri_merged_115560106,20250526,2
P_Fri_merged_115560106,20250704,2
MT_merged_115560105,20250526,2
MT_merged_115560112,20251225,2
MT_merged_115560112,20251127,2
MT_merged_115560112,20250901,2
MT_merged_115560112,20260101,2
DPSWK_merged_115560109,20251225,2
DPSWK_merged_115560109,20251127,2
DPSWK_merged_115560109,20250901,2
DPSWK_merged_115560109,20260101,2
DPSWK_merged_115560102,20250526,2
DPSWK_merged_115560102,20250704,2
WK_merged_115560110,20251225,2
WK_merged_115560110,20251127,2
WK_merged_115560110,20250901,2
WK_merged_115560110,20260101,2
SU_merged_115560111,20251225,1
SU_merged_115560111,20251127,1
SU_merged_115560111,20250901,1
SU_merged_115560111,20260101,1
SU_merged_115560104,20250526,1
SU_merged_115560104,20250704,1
FR_merged_115560101,20250704,2
WK_merged_115560103,20250526,2
WK_merged_115560103,20250704,2
P_Fri_merged_115560113,20251225,2
P_Fri_merged_115560113,20251127,2
P_Fri_merged_115560113,20250901,2
P_Fri_merged_115560113,20260101,2
