trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
115371849,12:15:00,12:15:00,35139,1,,,1,,
115371849,12:40:00,12:40:00,35381,2,,,,,
115371849,13:35:00,13:35:00,35158,3,,,,,
115371849,13:55:00,13:55:00,35165,4,,,,,
115371849,14:30:00,14:30:00,35176,5,,,,,
115371849,15:10:00,15:10:00,35130,6,,,,,
115371849,15:40:00,15:40:00,35401,7,,,,,
115371849,16:00:00,16:00:00,35174,8,,,,,
115371849,16:40:00,16:40:00,35136,9,,,,,
115371849,17:35:00,17:35:00,35144,10,,,,,
115371849,18:05:00,18:05:00,33658,11,,1,,,
115371849,18:30:00,18:30:00,34343,12,,1,,,
115371848,08:15:00,08:15:00,35176,1,,,1,,
115371848,08:55:00,08:55:00,35130,2,,,,,
115371848,09:10:00,09:10:00,35401,3,,,,,
115371848,09:30:00,09:30:00,35174,4,,,,,
115371848,10:10:00,10:10:00,35136,5,,,,,
115371848,11:05:00,11:05:00,35144,6,,,,,
115371848,11:45:00,11:45:00,33658,7,,1,,,
115371848,12:05:00,12:05:00,34343,8,,1,,,
115371843,19:00:00,19:00:00,35176,1,,,1,,
115371843,19:40:00,19:40:00,35130,2,,,,,
115371843,20:10:00,20:10:00,35401,3,,,,,
115371843,20:30:00,20:30:00,35174,4,,,,,
115371843,21:10:00,21:10:00,35136,5,,,,,
115371843,22:05:00,22:05:00,35144,6,,,,,
115371843,22:35:00,22:35:00,33658,7,,1,,,
115371843,23:00:00,23:00:00,34343,8,,1,,,
115371842,15:20:00,15:30:00,34316,1,,,1,,
115371842,15:55:00,15:55:00,33658,2,,,1,,
115371842,16:30:00,16:30:00,35144,3,,,,,
115371842,17:15:00,17:15:00,35136,4,,,,,
115371842,17:50:00,17:50:00,35174,5,,,,,
115371842,18:10:00,18:10:00,35401,6,,,,,
115371842,18:40:00,18:40:00,35130,7,,,,,
115371842,19:25:00,19:25:00,35176,8,,1,,,
115371841,05:50:00,06:00:00,34316,1,,,1,,
