block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_WEST 13,WEST,0,Denver,1306853,WK_merged_115560103,115371849
a_WEST  3,WEST,0,Denver,1306854,WK_merged_115560103,115371848
a_WEST 61,WEST,0,Denver,1306854,WK_merged_115560103,115371843
a_WEST 62,WEST,1,Glenwood Springs,1306858,SU_merged_115560104,115371842
a_WEST 56,WEST,1,Glenwood Springs,1306858,SU_merged_115560104,115371841
a_WEST 28,WEST,1,Grand Junction,1306861,SU_merged_115560104,115371840
a_WEST 21,WEST,0,Denver,1306853,WK_merged_115560103,115371847
a_WEST  1,WEST,0,Denver,1306854,WK_merged_115560103,115371846
a_WEST 29,WEST,0,Denver,1306853,WK_merged_115560103,115371845
a_WEST 59,WEST,0,Denver,1306854,WK_merged_115560103,115371844
a_SOUT 10,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371681
a_SOUT 16,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371680
a_SOUT 18,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371682
b_NRTH 48,NRTH,0,Fort Collins,1317692,SA_merged_115560114,115559319
b_NRTH 52,NRTH,0,Fort Collins,1317692,SA_merged_115560114,115559318
a_PEGA  5,PEGA,1,Vail,1306765,WK_merged_115560103,115371069
a_PEGA 25,PEGA,1,Vail,1306765,P_Fri_merged_115560106,115371068
a_PEGA 20,PEGA,0,Denver Union Station,1306764,WK_merged_115560103,115371065
a_PEGA 30,PEGA,0,Denver Union Station,1306764,P_Fri_merged_115560106,115371064
a_PEGA 35,PEGA,1,Vail,1306765,WK_merged_115560103,115371067
a_PEGA 40,PEGA,1,Vail,1306765,P_Fri_merged_115560106,115371066
a_PEGA  5,PEGA,0,Denver Union Station,1306764,WK_merged_115560103,115371061
a_PEGA 40,PEGA,0,Denver Union Station,1306764,P_Fri_merged_115560106,115371060
a_PEGA  1,PEGA,0,Denver Union Station,1306764,WK_merged_115560103,115371063
a_PEGA 10,PEGA,0,Denver Union Station,1306764,P_Fri_merged_115560106,115371062
a_SOUT 31,SOUT,0,Denver,1306831,SA_merged_115560107,115371638
a_WEST  3,WEST,0,Denver,1306854,SU_merged_115560104,115371818
b_PEGA 20,PEGA,1,Vail,1317714,SA_merged_115560114,115559401
b_PEGA  1,PEGA,1,Vail,1317714,SA_merged_115560114,115559400
b_PEGA  5,PEGA,0,Denver Union Station,1317713,SU_merged_115560111,115559407
b_PEGA 40,PEGA,0,Denver Union Station,1317713,SU_merged_115560111,115559406
b_PEGA 25,PEGA,0,Denver Union Station,1317713,SU_merged_115560111,115559405
a_WEST  1,WEST,0,Denver,1306854,SU_merged_115560104,115371819
b_PEGA  1,PEGA,0,Denver Union Station,1317713,SU_merged_115560111,115559409
b_PEGA 10,PEGA,0,Denver Union Station,1317713,SU_merged_115560111,115559408
a_SOUT 39,SOUT,0,Denver,1306831,SA_merged_115560107,115371635
a_SOUT 37,SOUT,0,Denver,1306831,SA_merged_115560107,115371636
a_SOUT 33,SOUT,0,Denver,1306831,SA_merged_115560107,115371637
a_WEST 28,WEST,1,Grand Junction,1306861,SA_merged_115560107,115371810
a_WEST 56,WEST,1,Glenwood Springs,1306858,SA_merged_115560107,115371811
a_WEST 62,WEST,1,Glenwood Springs,1306858,SA_merged_115560107,115371812
a_WEST 61,WEST,0,Denver,1306854,SU_merged_115560104,115371813
a_WEST 59,WEST,0,Denver,1306854,SU_merged_115560104,115371814
a_WEST 29,WEST,0,Denver,1306853,SU_merged_115560104,115371815
a_WEST 13,WEST,0,Denver,1306853,SU_merged_115560104,115371816
a_WEST 21,WEST,0,Denver,1306853,SU_merged_115560104,115371817
a_ESTS  2,ESTS,1,Denver Union Station,1306416,SU_merged_115560104,115369020
a_ESTS  1,ESTS,1,Denver Union Station,1306416,SU_merged_115560104,115369021
b_NRTH 41,NRTH,1,Denver,1317699,SU_merged_115560111,115559340
b_NRTH 49,NRTH,1,Denver,1317699,SU_merged_115560111,115559341
b_NRTH 24,NRTH,0,Fort Collins,1317692,WK_merged_115560110,115559342
b_NRTH 22,NRTH,0,Fort Collins,1317692,WK_merged_115560110,115559343
b_NRTH 20,NRTH,0,Fort Collins,1317691,WK_merged_115560110,115559344
b_NRTH 12,NRTH,0,Fort Collins,1317692,WK_merged_115560110,115559345
b_NRTH  8,NRTH,0,Fort Collins,1317692,WK_merged_115560110,115559346
b_NRTH  6,NRTH,0,Fort Collins,1317692,WK_merged_115560110,115559347
b_NRTH 14,NRTH,0,Fort Collins,1317692,WK_merged_115560110,115559348
b_NRTH 10,NRTH,0,Fort Collins,1317692,WK_merged_115560110,115559349
b_SOUT 12,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559979
b_SOUT  6,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559978
b_SOUT  2,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559977
b_SOUT 14,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559976
b_SOUT  4,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559975
b_SOUT  8,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559974
b_SOUT 22,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559973
b_SOUT 20,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559972
b_SOUT 24,SOUT,1,Colorado Springs,1317782,WK_merged_115560110,115559971
b_SOUT 17,SOUT,0,Denver,1317780,WK_merged_115560110,115559970
b_WEST 25,WEST,0,Denver,1317800,SU_merged_115560111,115560050
b_WEST 51,WEST,0,Denver,1317801,SU_merged_115560111,115560051
b_WEST 53,WEST,0,Denver,1317801,SU_merged_115560111,115560052
b_WEST 27,WEST,0,Denver,1317800,SU_merged_115560111,115560053
b_WEST 57,WEST,0,Denver,1317801,SU_merged_115560111,115560054
b_WEST 63,WEST,0,Denver,1317801,SU_merged_115560111,115560055
b_WEST 30,WEST,1,Grand Junction,1317808,SU_merged_115560111,115560056
b_WEST 60,WEST,1,Glenwood Springs,1317805,SU_merged_115560111,115560057
b_WEST 58,WEST,1,Glenwood Springs,1317805,SU_merged_115560111,115560058
b_WEST 14,WEST,1,Grand Junction,1317808,SU_merged_115560111,115560059
a_SOUT  8,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371674
a_SOUT  4,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371675
a_SOUT 14,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371676
a_SOUT  2,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371677
a_SOUT 17,SOUT,0,Denver,1306831,WK_merged_115560103,115371670
a_SOUT 24,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371671
a_SOUT 20,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371672
a_SOUT 22,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371673
a_SOUT  6,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371678
a_SOUT 12,SOUT,1,Colorado Springs,1306833,WK_merged_115560103,115371679
a_NRTH 53,NRTH,1,Denver,1306750,SA_merged_115560107,115370958
a_NRTH 51,NRTH,1,Denver,1306750,SA_merged_115560107,115370959
a_NRTH 42,NRTH,0,Fort Collins,1306743,SA_merged_115560107,115370956
a_NRTH 44,NRTH,0,Fort Collins,1306743,SA_merged_115560107,115370957
a_NRTH 46,NRTH,0,Fort Collins,1306743,SA_merged_115560107,115370954
a_NRTH 50,NRTH,0,Fort Collins,1306743,SA_merged_115560107,115370955
a_NRTH 52,NRTH,0,Fort Collins,1306743,SA_merged_115560107,115370952
a_NRTH 48,NRTH,0,Fort Collins,1306743,SA_merged_115560107,115370953
a_PEGA  1,PEGA,1,Vail,1306765,SA_merged_115560107,115371032
a_PEGA 30,PEGA,1,Vail,1306765,SA_merged_115560107,115371033
a_PEGA  5,PEGA,1,Vail,1306765,SA_merged_115560107,115371030
a_PEGA 10,PEGA,1,Vail,1306765,SA_merged_115560107,115371031
a_PEGA 35,PEGA,0,Denver Union Station,1306764,SU_merged_115560104,115371036
a_PEGA  5,PEGA,0,Denver Union Station,1306764,SU_merged_115560104,115371037
a_PEGA  1,PEGA,1,Vail,1306765,SA_merged_115560107,115371034
a_PEGA 20,PEGA,1,Vail,1306765,SA_merged_115560107,115371035
a_PEGA 15,PEGA,0,Denver Union Station,1306764,SU_merged_115560104,115371038
a_PEGA 25,PEGA,0,Denver Union Station,1306764,SU_merged_115560104,115371039
b_PEGA  5,PEGA,0,Denver Union Station,1317713,SU_merged_115560111,115559403
b_WEST  4,WEST,1,Grand Junction,1317808,SU_merged_115560111,115560063
b_PEGA 15,PEGA,1,Vail,1317714,SA_merged_115560114,115559393
